uid,ppr_seed,ppr_global
Staples::Audio > Portable Audio > Home Theater Audio > Speaker Stands,0.00026777936809578237,0.00012152511544475688
Staples::Audio > Portable Audio > Listening Centers,0.0004143866619980925,8.66925223018665e-05
Staples::Audio > Portable Audio > Portable Speakers & Radios,0.0003450572750342412,7.98787362015413e-05
Staples::Audio > Portable Audio > Two Way Radios,0.00035011097069972497,0.00011522455637419913
Staples::Audio > Portable Audio > Voice Recorders,0.00029369274573382204,0.000104925607679746
"Staples::Bags, Backpacks & Luggage",0.00030352832046066594,9.499189112224294e-05
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags",0.0004661808312873733,0.00012097985863199112
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Backpacks",0.0003369741750918572,7.969312171974652e-05
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Bags",0.00030126736952811105,6.845523533292853e-05
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Laptop Sleeves & Cases",0.0003397466368011175,7.377874947731239e-05
"Staples::Bags, Backpacks & Luggage > Backpacks & Laptop Bags > Messenger Bags",0.00024383561236839023,4.4300132629342065e-05
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios",0.00043433106709356517,0.00010751357981053308
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Briefcases",0.00029355407259565807,4.948036796186172e-05
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Padfolios",0.00029219967627288826,6.600143353179588e-05
"Staples::Bags, Backpacks & Luggage > Briefcases & Padfolios > Totes & Handbags",0.00028499539223945545,4.75355848639152e-05
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories",0.0003349316363159781,9.649838988172557e-05
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags",0.0005362563091801505,0.00010183343038402867
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Sport & Duffel Bags",0.0002829232333065659,4.963512520895275e-05
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Luggage & Duffel Bags > Suitcases & Luggage Sets",0.00030236634516712046,3.212733359952108e-05
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories",0.0006837834214096485,0.00013441331943999044
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Luggage Tags, Locks & Covers",0.0002830106332172398,4.692885540835351e-05
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Personal Travel Accessories",0.00024479594122650013,3.0921533308199805e-05
"Staples::Bags, Backpacks & Luggage > Luggage & Travel Accessories > Travel Accessories > Toiletry Bags, Packing Cubes & Travel Pouches",0.0002868291130062137,4.235682679151001e-05
"Staples::Bags, Backpacks & Luggage > Totes & Handbags",0.0002993226189307938,8.639189961904135e-05
"Staples::Bags, Backpacks & Luggage > Totes & Handbags > Lunch Bags & Boxes",0.0003136091767394962,7.614088248985166e-05
Staples::Batteries & Power,0.00021495095619501856,0.0001591253143546924
Staples::Batteries & Power > Battery Shop,0.0005583764950525597,0.000365265621309757
Staples::Batteries & Power > Battery Shop > Camera & Camcorder Batteries & Chargers,0.00018334581408726086,9.687275701239365e-05
Staples::Batteries & Power > Battery Shop > Cell Phone Batteries,0.0005399996626529546,0.0001928976626145187
Staples::Batteries & Power > Battery Shop > Computer & Laptop Batteries,0.00024109414500285935,4.936923043610323e-05
Staples::Batteries & Power > Battery Shop > Cordless Phone Batteries,0.00017004853689922832,6.814440066373654e-05
Staples::Batteries & Power > Battery Shop > General Purpose Batteries,0.00020553678072378183,4.936175333900031e-05
Staples::Batteries & Power > Battery Shop > Hearing Aid Batteries,0.00013584244532075082,7.839793953572276e-05
Staples::Batteries & Power > Battery Shop > Specialty Batteries,0.0003081991121032308,0.00016571971269776145
Staples::Batteries & Power > Power Management,0.0006159333023855468,0.00019240654309616266
Staples::Batteries & Power > Power Management > Battery Backup & UPS,0.0002702442852102699,5.843263471833632e-05
Staples::Batteries & Power > Power Management > Extension Cords,0.0003206940401813181,0.00014321227329090768
Staples::Batteries & Power > Power Management > Power Distribution Units,0.000225993174894084,4.80766462135457e-05
Staples::Batteries & Power > Power Management > Power Inverters,0.0001682596678112376,4.611562276459277e-05
Staples::Batteries & Power > Power Management > Surge Protectors & Power Strips,0.00031711096709986287,7.640819872440887e-05
Staples::Batteries & Power > Power Management > UPS Accessories,0.0001527818134143413,2.9388997187697718e-05
Staples::Cleaning Supplies,0.0007475505239972513,0.0004650195924717367
Staples::Cleaning Supplies > Chemical Sterilization Equipment,0.00047222880961175816,0.00011308113698813455
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes,0.0006743117766224778,0.0002622818327249204
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Air Fresheners & Deodorizers,0.0003231557985413374,0.00016900949478406392
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Carpet Care,0.00015484190573242368,3.6809409834962685e-05
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Cleaning Chemicals,0.00031756719185318844,0.00010291841203095123
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals,0.0003833139408650411,8.774753668326854e-05
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals > Dilution Control Chemicals,0.0002372374783437974,3.498346054230788e-05
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Dilution Control Systems & Chemicals > Dilution Control System & Accessories,0.0001580548312840977,3.498346054230788e-05
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Disinfectant Wipes,0.0002857403778318854,8.100056295848814e-05
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Hard Floor Care,0.0002570331029754343,0.00011307665603719038
Staples::Cleaning Supplies > Cleaning Chemicals & Wipes > Urinal Screens,0.00017153659909820417,4.253356818425659e-05
Staples::Cleaning Supplies > Cleaning Tools,0.0007029667433987222,0.00036990811154013353
Staples::Cleaning Supplies > Cleaning Tools > Cleaning Brushes & Toilet Plungers,0.0002779102260799922,0.00010021858092460658
"Staples::Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories",0.0002510033813333279,0.00011228244324287069
"Staples::Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories > Cleaning Caddies",0.00011805583760343821,4.571950614555263e-05
"Staples::Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories > Cleaning Cart Accessories",0.00012936752778549147,3.833517391356198e-05
"Staples::Cleaning Supplies > Cleaning Tools > Cleaning Carts, Caddies & Accessories > Cleaning Carts",0.00016122359618740088,6.280750900631302e-05
Staples::Cleaning Supplies > Cleaning Tools > Cleaning Cloths & Rags,0.00024574492830845273,6.921631985239802e-05
Staples::Cleaning Supplies > Cleaning Tools > Dusters,0.0002401970240452323,9.213177220277242e-05
"Staples::Cleaning Supplies > Cleaning Tools > Mops, Brooms & Dustpans",0.0006117028562737843,0.00020266206939398426
"Staples::Cleaning Supplies > Cleaning Tools > Mops, Brooms & Dustpans > Mop Buckets & Wringers",0.00016034910045316337,2.7950064146975182e-05
"Staples::Cleaning Supplies > Cleaning Tools > Mops, Brooms & Dustpans > Mop Heads & Refill Pads",0.00020241339356231092,2.7950064146975182e-05
"Staples::Cleaning Supplies > Cleaning Tools > Mops, Brooms & Dustpans > Mops",0.0002932054767415531,0.00010803625036210328
Staples::Cleaning Supplies > Cleaning Tools > Sponges & Scrubbers,0.00024283898154745377,8.43313621728939e-05
Staples::Cleaning Supplies > Cleaning Tools > Spray Bottles & Sprayers,0.00017796523335993428,6.59492670684613e-05
Staples::Cleaning Supplies > Cleaning Tools > Squeegees,0.00021336382175902443,7.768037081538046e-05
Staples::Cleaning Supplies > Dish Soap,0.0002877230426853119,0.00010814916765390382
Staples::Cleaning Supplies > Dishwasher Detergent,0.0002534551072937526,0.00010633621491765188
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment,0.0007237365558007817,0.00028097975675799963
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Auto Scrubbers,0.00013732057533388876,2.842347552140251e-05
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Carpet Extractors & Cleaners,0.00013555097643869467,3.747163708544872e-05
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Finish Applicators,6.744641620572562e-05,2.842347552140251e-05
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Machines & Burnishers,0.00012823252642507995,2.842347552140251e-05
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Floor Pads,0.00020676485043971208,4.773663495222057e-05
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuum Parts & Accessories,0.000258246053540451,0.0001086398107599158
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Vacuums,0.0004765724323723957,0.0006660773273438934
Staples::Cleaning Supplies > Floor & Carpet Cleaning Equipment > Wet/Dry Vacuums,0.00017096846640440123,6.904593041742976e-05
Staples::Cleaning Supplies > Hand Soaps & Sanitizers,0.0003927927914042135,0.00013189974968451604
Staples::Cleaning Supplies > Hand Soaps & Sanitizers > Hand Sanitizer,0.00027708403392616,7.642479214841689e-05
Staples::Cleaning Supplies > Hand Soaps & Sanitizers > Hand Soap,0.00029233961505411085,0.00012630916096407663
Staples::Cleaning Supplies > Hand Soaps & Sanitizers > Hand Soap & Sanitizer Dispensers,0.000179205663132818,2.687413688428203e-05
Staples::Cleaning Supplies > Janitorial Paper & Dispensers,0.0001701357283215497,9.228519490601196e-05
Staples::Cleaning Supplies > Janitorial Paper & Dispensers > Dispensers & Restroom Equipment,0.00021168646666355447,0.00010699883142200337
Staples::Cleaning Supplies > Janitorial Paper & Dispensers > Dispensers & Restroom Equipment > Toilet Paper Dispensers,0.00023045909959212607,9.314450927814868e-05
Staples::Cleaning Supplies > Laundry Care,0.0003760813679613124,0.000289274594638459
Staples::Cleaning Supplies > Laundry Care > Dryer Sheets,0.00016670412510728122,0.00010466788074062954
Staples::Cleaning Supplies > Laundry Care > Fabric Softener,0.00013020659886082923,8.875276848773224e-05
Staples::Cleaning Supplies > Laundry Care > Laundry Detergent,0.00032126355331176437,0.00029005900718685816
Staples::Cleaning Supplies > Laundry Care > Laundry Room Organization,0.00018093562387079616,0.00014381461876697128
Staples::Cleaning Supplies > Laundry Care > Laundry Room Organization > Clothes Drying,0.00016815118051547056,6.830837163574878e-05
Staples::Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Accessories,0.00020370101879403635,0.00010995866567813933
"Staples::Cleaning Supplies > Laundry Care > Laundry Room Organization > Laundry Baskets, Hampers & Sorters",0.0002603549219752781,0.00016518529902714434
Staples::Cleaning Supplies > Laundry Care > Laundry Sanitizers & Bleach,0.00011942854592807646,6.293508095859635e-05
