source,target,rel,weight
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Serveware,SAME_AS,0.736
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Smallwares > Serveware > Condiment & Snack Serveware,SAME_AS,0.4046
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Tabletop > Dinnerware > Dinnerware Sets,SAME_AS,0.5791
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Tabletop > Dinnerware > Casual Dinnerware Sets,SAME_AS,0.423
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Shop Restaurant Spaces > Dining Room > Dinnerware,SAME_AS,0.8079
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Wayfair::Shop Restaurant Spaces > Outdoor Dining > Outdoor Serving & Tableware,SAME_AS,0.3908
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Amazon::Home & Kitchen > Event & Party Supplies > Tableware,SAME_AS,0.7293
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Wedding Shop > Wedding Party Supplies > Wedding Party Tableware,SAME_AS,0.4506
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Party Supplies > Party Tableware,SAME_AS,0.5353
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Party Supplies > Character Party Supplies > Character Party Tableware,SAME_AS,0.3605
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Party Tableware,SAME_AS,0.5341
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Party Tableware > Party Tableware,SAME_AS,0.6122
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Christmas Party Supplies > Christmas Tableware,SAME_AS,0.3792
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Mermaid Party Supplies > Mermaid Party Tableware,SAME_AS,0.357
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Aladdin Party Supplies > Aladdin Party Tableware,SAME_AS,0.3426
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Elmo Party Supplies > Elmo Party Tableware,SAME_AS,0.3753
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > WWE Party Supplies > WWE Party Tableware,SAME_AS,0.3869
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Batman Party Supplies > Batman Party Tableware,SAME_AS,0.3523
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Fiesta Supplies > Fiesta Tableware,SAME_AS,0.3858
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Princess Party Supplies > Princess Party Tableware,SAME_AS,0.3639
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Golf Party Supplies > Golf Tableware,SAME_AS,0.416
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Soccer Party Supplies > Soccer Party Tableware,SAME_AS,0.3643
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Jungle Safari Party Supplies > Jungle Party Tableware,SAME_AS,0.3445
Staples::Appliances & Kitchenware > Kitchenware > Dining & Tableware > Tableware,Walmart::Party & Occasions > Flamingo Party Supplies > Flamingo Tableware,SAME_AS,0.3597
