uid,retailer,name,path,level,items,n_leaves,is_leaf,coreness
Staples::Audio > Headsets & Microphones > Headsets,Staples,Headsets,Audio > Headsets & Microphones > Headsets,3,1016.0,1,True,0.39275471698113207
Staples::Audio > Portable Audio,Staples,Portable Audio,Audio > Portable Audio,2,910.0,9,False,0.3662269129287599
Staples::Audio > Portable Audio > Home Theater Audio,Staples,Home Theater Audio,Audio > Portable Audio > Home Theater Audio,3,235.0,5,False,0.36820125786163527
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,Staples,Home Theater Speaker Systems,Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,4,64.0,1,True,0.3565504587155963
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,Staples,Home Theater Speakers,Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,4,123.0,1,True,0.37152293577981654
Staples::Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,Staples,Receivers & Amplifiers,Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,4,36.0,1,True,0.3358532110091743
Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,Staples,Retro Audio,Audio > Portable Audio > Home Theater Audio > Retro Audio,4,235.0,5,True,0.38238532110091744
Staples::Audio > Portable Audio > Home Theater Audio > Speaker Stands,Staples,Speaker Stands,Audio > Portable Audio > Home Theater Audio > Speaker Stands,4,12.0,1,True,0.30267889908256884
Staples::Audio > Portable Audio > Listening Centers,Staples,Listening Centers,Audio > Portable Audio > Listening Centers,3,910.0,9,True,0.391748427672956
Staples::Audio > Portable Audio > Portable Speakers & Radios,Staples,Portable Speakers & Radios,Audio > Portable Audio > Portable Speakers & Radios,3,484.0,1,True,0.381685534591195
Staples::Audio > Portable Audio > Two Way Radios,Staples,Two Way Radios,Audio > Portable Audio > Two Way Radios,3,151.0,1,True,0.3548176100628931
Staples::Audio > Portable Audio > Voice Recorders,Staples,Voice Recorders,Audio > Portable Audio > Voice Recorders,3,40.0,1,True,0.31074213836477993
"Staples::Bags, Backpacks & Luggage",Staples,"Bags, Backpacks & Luggage","Bags, Backpacks & Luggage",1,3347.0,13,False,0.4892307692307692
