competitor,uid,path_str,level,is_leaf,comp_items,best_staples,best_score,matched,coverage,DG,WM,gap_type,AAS,CRS,sibling_coverage,concept_id,O_node,label,O
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Patient Care > Nursing Supplies,Cleaning > Medical Supplies > Patient Care > Nursing Supplies,4,True,3.0,Healthcare Supplies > Patient Care > Exam Room Supplies & Equipment,0.32252235659774753,False,1.0,0.0,0.0,PARITY,52.936773853250614,9.007367505185842,0.8529411764705882,1822,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Patient Care > Over-the-Counter Medicine,Cleaning > Medical Supplies > Patient Care > Over-the-Counter Medicine,4,True,60.0,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins,0.26699086032158087,False,1.0,0.0,0.0,PARITY,47.34853855913296,0.0,0.6666666666666666,1823,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Patient Care > Pill Organizers,Cleaning > Medical Supplies > Patient Care > Pill Organizers,4,True,2.0,Healthcare Supplies > OTC Pharmaceuticals > Medicine & Vitamins > Pill Organizers & Storage,0.5994838413146366,True,1.0,-0.7825270242294216,0.0,PARITY,77.08883807707528,41.75074471473792,0.8543689320388349,846,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Rehabilitation,Cleaning > Medical Supplies > Rehabilitation,3,False,20.0,Healthcare Supplies > Physical Therapy and Rehabilitation Equipment > Rehabilitation & Therapeutic Equipment,0.4051993201610472,False,1.0,0.0,0.0,PARITY,21.887323943661976,24.12220994099276,0.7295774647887324,1824,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Rehabilitation > Back Support,Cleaning > Medical Supplies > Rehabilitation > Back Support,4,True,2.0,Healthcare Supplies > Durable Medical Equipment > Orthopedics > Back & Waist Supports,0.41005663290047845,False,1.0,0.0,0.0,PARITY,30.000000000000004,34.30788184342683,1.0,1825,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Rehabilitation > Exercise Equipment,Cleaning > Medical Supplies > Rehabilitation > Exercise Equipment,4,True,6.0,Healthcare Supplies > Physical Therapy and Rehabilitation Equipment > Rehabilitation & Therapeutic Equipment,0.24729480487734465,False,1.0,0.0,0.0,PARITY,30.000000000000004,0.0,1.0,1826,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Rehabilitation > Pain Management Devices,Cleaning > Medical Supplies > Rehabilitation > Pain Management Devices,4,True,12.0,Computers & Accessories > Computer Accessories & Peripherals > Cables & Cable Accessories > Cable Management,0.3053503165957888,False,1.0,0.0,0.0,PARITY,30.000000000000004,6.328592133345294,1.0,1827,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Respiratory,Cleaning > Medical Supplies > Respiratory,3,False,1.0,Healthcare Supplies > Patient Care > Respiratory Therapy,0.42222925957327856,False,1.0,0.0,0.0,PARITY,23.557071016462192,25.139285548902063,0.7433155080213903,1828,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Respiratory > Breathing Tubes,Cleaning > Medical Supplies > Respiratory > Breathing Tubes,4,True,1.0,"Shipping, Packing & Mailing Supplies > Mailing Supplies > Mailing Tubes > Mailing Tubes",0.2769450531336165,False,1.0,0.0,0.0,PARITY,1.7965796797435425,0.0,,1829,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Surgical Supplies,Cleaning > Medical Supplies > Surgical Supplies,3,False,4.0,Restaurant & Foodservice Supplies > Bar Supplies,0.26732694798066076,False,1.0,0.0,0.0,PARITY,22.237196765498656,22.25314222595567,0.7412398921832885,1830,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Surgical Supplies > Medical Tools,Cleaning > Medical Supplies > Surgical Supplies > Medical Tools,4,True,3.0,Healthcare Supplies > Wound Care > Bandages > Medical Tape,0.3427849010710884,False,1.0,0.0,0.0,PARITY,30.000000000000004,23.903117043117827,1.0,1831,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Surgical Supplies > Skin Prep,Cleaning > Medical Supplies > Surgical Supplies > Skin Prep,4,True,1.0,Healthcare Supplies > Personal Care > Skin Care,0.35912643068428535,False,1.0,0.0,0.0,PARITY,30.000000000000004,17.30321777446921,1.0,1832,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Wound Care,Cleaning > Medical Supplies > Wound Care,3,False,63.0,Healthcare Supplies > Wound Care,0.6876294314239059,True,1.0,-2.837195719500797,0.0,PARITY,83.66225158488494,48.84514435695538,0.6932907348242812,984,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Wound Care > Dressings,Cleaning > Medical Supplies > Wound Care > Dressings,4,True,37.0,Healthcare Supplies > Wound Care > Advanced Wound Care > Foam Dressings,0.5908223131761026,True,1.0,-3.271865241003283,0.0,PARITY,97.98527498476109,49.70434782608696,1.0,989,,,
OfficeDepot,OfficeDepot::Cleaning > Medical Supplies > Wound Care > Gauze Sponges,Cleaning > Medical Supplies > Wound Care > Gauze Sponges,4,True,10.0,Healthcare Supplies > Wound Care > Gauze,0.6386036292050747,True,1.0,-0.6736682259315478,0.0,PARITY,89.67229634415925,44.608695652173914,1.0,1012,,,
