uid,retailer,name,path,level,items,is_leaf,in_scope,coreness
Staples::Arts & Crafts > Crafting > Art Portfolios & Craft Storage,Staples,Art Portfolios & Craft Storage,Arts & Crafts > Crafting > Art Portfolios & Craft Storage,3,66.0,True,True,0.24402777777777776
Staples::Arts & Crafts > Crafting > Craft Kits,Staples,Craft Kits,Arts & Crafts > Crafting > Craft Kits,3,542.0,True,True,0.2823611111111111
Staples::Arts & Crafts > Crafting > Craft Supplies,Staples,Craft Supplies,Arts & Crafts > Crafting > Craft Supplies,3,597.0,True,True,0.2836111111111111
Staples::Arts & Crafts > Crayons,Staples,Crayons,Arts & Crafts > Crayons,2,119.0,True,True,0.23338582677165354
Staples::Arts & Crafts > Drafting Supplies,Staples,Drafting Supplies,Arts & Crafts > Drafting Supplies,2,88.0,True,True,0.22629921259842517
Staples::Arts & Crafts > Drawing & Colored Pencils,Staples,Drawing & Colored Pencils,Arts & Crafts > Drawing & Colored Pencils,2,240.0,True,True,0.2458267716535433
Staples::Arts & Crafts > Drawing Tools & Supplies,Staples,Drawing Tools & Supplies,Arts & Crafts > Drawing Tools & Supplies,2,53.0,True,True,0.21874015748031495
Staples::Arts & Crafts > Paint,Staples,Paint,Arts & Crafts > Paint,2,1884.0,True,True,0.2886614173228346
Staples::Arts & Crafts > Painting Accessories,Staples,Painting Accessories,Arts & Crafts > Painting Accessories,2,126.0,True,True,0.2338582677165354
Staples::Arts & Crafts > Pastels,Staples,Pastels,Arts & Crafts > Pastels,2,95.0,True,True,0.2275590551181102
Staples::Arts & Crafts > Scrapbooking,Staples,Scrapbooking,Arts & Crafts > Scrapbooking,2,515.0,False,True,0.261259842519685
Staples::Arts & Crafts > Scrapbooking > Die Cutting,Staples,Die Cutting,Arts & Crafts > Scrapbooking > Die Cutting,3,202.0,True,True,0.2683333333333333
Staples::Arts & Crafts > Scrapbooking > Scrapbooking Albums & Kits,Staples,Scrapbooking Albums & Kits,Arts & Crafts > Scrapbooking > Scrapbooking Albums & Kits,3,14.0,True,True,0.20930555555555555
Staples::Arts & Crafts > Scrapbooking > Stamps & Stencils,Staples,Stamps & Stencils,Arts & Crafts > Scrapbooking > Stamps & Stencils,3,133.0,True,True,0.25826388888888885
Staples::Arts & Crafts > Scrapbooking > Stickers & Embellishments,Staples,Stickers & Embellishments,Arts & Crafts > Scrapbooking > Stickers & Embellishments,3,166.0,True,True,0.2644444444444444
Staples::Arts & Crafts > Sketch Pads & Books,Staples,Sketch Pads & Books,Arts & Crafts > Sketch Pads & Books,2,584.0,True,True,0.264251968503937
Staples::Audio,Staples,Audio,Audio,1,2787.0,False,True,0.31794871794871793
Staples::Audio > Headphones,Staples,Headphones,Audio > Headphones,2,782.0,False,True,0.36010498687664044
Staples::Audio > Headphones > Headphones,Staples,Headphones,Audio > Headphones > Headphones,3,782.0,True,True,0.38203703703703706
Staples::Audio > Headsets & Microphones,Staples,Headsets & Microphones,Audio > Headsets & Microphones,2,1095.0,False,True,0.3710236220472441
Staples::Audio > Headsets & Microphones > Headsets,Staples,Headsets,Audio > Headsets & Microphones > Headsets,3,1016.0,True,True,0.38537037037037036
Staples::Audio > Portable Audio,Staples,Portable Audio,Audio > Portable Audio,2,910.0,False,True,0.3659842519685039
Staples::Audio > Portable Audio > Home Theater Audio,Staples,Home Theater Audio,Audio > Portable Audio > Home Theater Audio,3,235.0,False,True,0.3627777777777778
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,Staples,Home Theater Speaker Systems,Audio > Portable Audio > Home Theater Audio > Home Theater Speaker Systems,4,64.0,True,True,0.35881739130434787
Staples::Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,Staples,Home Theater Speakers,Audio > Portable Audio > Home Theater Audio > Home Theater Speakers,4,123.0,True,True,0.3730086956521739
Staples::Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,Staples,Receivers & Amplifiers,Audio > Portable Audio > Home Theater Audio > Receivers & Amplifiers,4,36.0,True,True,0.3392
Staples::Audio > Portable Audio > Home Theater Audio > Retro Audio,Staples,Retro Audio,Audio > Portable Audio > Home Theater Audio > Retro Audio,4,235.0,True,True,0.38330434782608697
Staples::Audio > Portable Audio > Home Theater Audio > Speaker Stands,Staples,Speaker Stands,Audio > Portable Audio > Home Theater Audio > Speaker Stands,4,12.0,True,True,0.3069217391304348
Staples::Audio > Portable Audio > Listening Centers,Staples,Listening Centers,Audio > Portable Audio > Listening Centers,3,910.0,True,True,0.3844444444444445
Staples::Audio > Portable Audio > Portable Speakers & Radios,Staples,Portable Speakers & Radios,Audio > Portable Audio > Portable Speakers & Radios,3,484.0,True,True,0.37518518518518523
Staples::Audio > Portable Audio > Two Way Radios,Staples,Two Way Radios,Audio > Portable Audio > Two Way Radios,3,151.0,True,True,0.350462962962963
