source,target,rel,weight
Staples::Appliances & Kitchenware > Small Appliances,"Staples::Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Microwaves,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Pasta Makers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Popcorn Machines,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,Staples::Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,CHILD_OF,1.0
Staples::Appliances & Kitchenware > Small Appliances,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Drink Makers",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Juicers",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances,OfficeDepot::In Room Solutions > Appliances > Small Appliances,SAME_AS,0.7848
Staples::Appliances & Kitchenware > Small Appliances > Bread Machines,Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Blenders & Food Processors",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Drink Makers",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Juicers",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,"Staples::Coffee, Water & Snacks > Breakroom Appliances > Toaster Ovens",CROSS_LISTED_UNDER,0.5
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Deep Fryers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Egg Cookers & Servers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Fondue Sets,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Food Dehydrators,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,"Staples::Appliances & Kitchenware > Small Appliances > Griddles, Grills & Waffle Makers",CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Ice Cream & Yogurt Makers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Ice Makers & Snow Cone Machines,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Microwaves,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Pasta Makers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Popcorn Machines,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Rice Cookers & Steamers,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Cotton Candy Machines,Staples::Appliances & Kitchenware > Small Appliances > Slow Cookers & Roasters,CROSS_LISTED_UNDER,1.0
Staples::Appliances & Kitchenware > Small Appliances > Microwaves,OfficeDepot::Breakroom > Appliances > Kitchen > Microwaves,SAME_AS,0.7641
Staples::Appliances & Kitchenware > Small Appliances > Microwaves,OfficeDepot::In Room Solutions > Appliances > Small Appliances > Microwave,SAME_AS,0.8903
Staples::Arts & Crafts,Staples::Arts & Crafts > Art & Drawing Pens,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Art Brushes,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Art Paper & Rolls,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Canvas & Art Boards,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Chalk,CHILD_OF,1.0
Staples::Arts & Crafts,Staples::Arts & Crafts > Charcoal,CHILD_OF,1.0
