competitor,uid,path_str,level,is_leaf,comp_items,best_staples,best_score,matched,coverage,DG,WM,gap_type,AAS,CRS,O_node,label,O
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Fine Writing Pens Gallery > Parker Fine Writing Pens,Office Supplies > Writing Supplies > Fine Writing Pens Gallery > Parker Fine Writing Pens,4,True,12.0,Office Supplies > Writing Supplies & Instruments > Pens,0.6696218,False,1.0,0.0,0.0,PARITY,39.098358154296875,73.54945263928838,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Fine Writing Pens Gallery > Scriveiner Fine Writing Pens,Office Supplies > Writing Supplies > Fine Writing Pens Gallery > Scriveiner Fine Writing Pens,4,True,16.0,Office Supplies > Writing Supplies & Instruments > Pens,0.6697747,False,1.0,0.0,0.0,PARITY,43.288909912109375,73.7069291373094,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Markers,Office Supplies > Writing Supplies > Markers,3,False,390.0,Office Supplies > Writing Supplies & Instruments > Markers,0.98407924,True,1.0,0.9811428966624254,0.0,DEEPEN,29.174637369304822,93.75,0.01958977005418991,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Markers > Dry-Erase Markers,Office Supplies > Writing Supplies > Markers > Dry-Erase Markers,4,True,83.0,Office Supplies > Writing Supplies & Instruments > Markers,0.745662,True,1.0,-0.27556307448012785,0.0,PARITY,36.482330322265625,93.75,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Markers > Highlighters,Office Supplies > Writing Supplies > Markers > Highlighters,4,True,100.0,Office Supplies > Writing Supplies & Instruments > Highlighters,0.9219253,True,1.0,1.0061462382583084,0.0,DEEPEN,6.139817237854004,87.77777777777777,0.030576489353798704,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Markers > Overhead & Flip-Chart Markers,Office Supplies > Writing Supplies > Markers > Overhead & Flip-Chart Markers,4,True,4.0,Office Supplies > Writing Supplies & Instruments > Markers,0.69192636,False,1.0,0.0,0.0,PARITY,22.683889389038086,93.47701258957386,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Markers > Permanent Markers & Marker Pens,Office Supplies > Writing Supplies > Markers > Permanent Markers & Marker Pens,4,True,198.0,Office Supplies > Writing Supplies & Instruments > Markers,0.8125632,True,1.0,0.586924951401051,0.0,PARITY,38.122398376464844,93.75,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Markers > Wet-Erase Markers,Office Supplies > Writing Supplies > Markers > Wet-Erase Markers,4,True,12.0,Office Supplies > Writing Supplies & Instruments > Markers,0.7313976,True,1.0,-2.1414305158619045,0.0,PARITY,25.11212158203125,93.75,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Pencil Sharpeners,Office Supplies > Writing Supplies > Pencil Sharpeners,3,True,31.0,Office Supplies > Writing Supplies & Instruments > Pencil Accessories > Pencil Sharpeners,0.9522631,True,1.0,0.6267931204897828,0.0,PARITY,100.0,92.73148148148148,,,
OfficeDepot,OfficeDepot::Office Supplies > Writing Supplies > Pencils,Office Supplies > Writing Supplies > Pencils,3,False,344.0,Office Supplies > Writing Supplies & Instruments > Pencils,0.98549557,True,1.0,1.0581419174538613,0.0,DEEPEN,93.92912964488185,92.73148148148148,0.03849390020476917,,
