Staples L2,L1,L2,L3,L4,category,product_id,product_name,price,url,vendor,selected_choice,description
,,,,,Kitchen   Dining Chairs,W116945402,"Modern Velvet Dining Chairs Set Of 4, Rattan Back & Chrome Base,Oliver Green",$299.99,https://www.wayfair.com/furniture/pdp/corrigan-studio-modern-velvet-dining-chairs-set-of-4-rattan-back-chrome-baseoliver-green-w116945402.html?piid=1367612040,Corrigan Studio®,Velvet Oliver Green,"Elevate your dining experience with this set of 4 modern industrial dining chairs. They masterfully combine the sleek, cool touch of stainless chrome metal frames with the organic texture of woven rattan backrests, creating a perfect balance of contemporary and classic charm. Upholstered in plush, classic velvet and filled with high-resilience foam, the seat cushions offer exceptional comfort and support. Built with durability in mind, the reinforced thicker steel tubes provide robust stability and a generous weight capacity of 260 lbs. Versatile in style, these chairs are the perfect addition to your kitchen, dining room, living area, or even as accent chairs in a café or office. The easy assembly process gets you from box to enjoyment in under 30 minutes."
,,,,,Kitchen   Dining Chairs,FHNH1790,Tara Yokum Dining Armchair,$486.85,https://www.wayfair.com/furniture/pdp/birch-lane-tara-yokum-dining-armchair-fhnh1790.html?piid=123139624%2C123139625,Birch Lane™,"Saxon Mink, Natural Oak","A midcentury-inspired piece brought to modern speed. A supportive, sling-style back and seat cushion are upholstered in a soft, velvety fabric, with toasted arms prime for the head of the table. | Nice sturdy chair. I wanted something with arms so my mom could use easily. She loves it!. Julie. Thu Apr 23 2026"
,,,,,Kitchen   Dining Chairs,W111698095,Wood Bak Uph Side Chr,$379.99,https://www.wayfair.com/furniture/pdp/lark-manor-wood-bak-uph-side-chr-w111698095.html,Lark Manor™,null,"Softened lines and polished forms accentuate the timeless and elegant aesthetic of the Hepburn collection. Scalloped detailing and platinum-finished hardware introduce a touch of luxury, creating an atmosphere of livable sophistication. Hepburn offers the ideal style to elevate your home, becoming the envy of all your friends."
,,,,,Kitchen   Dining Chairs,W116592339,"Farmhouse Gray Tufted Upholstered Dining Chairs, Set of 2",$161.99,https://www.wayfair.com/furniture/pdp/ophelia-co-farmhouse-gray-solid-wood-tufted-dining-chairs-with-black-faux-leather-and-roman-column-legs-set-of-2-w116592339.html,Ophelia & Co.,null,"Bring timeless comfort and farmhouse charm to your dining space with this set of 2 farmhouse dining chairs with upholstered seats. Featuring a button-tufted back and a cushioned upholstered seat, each chair offers comfortable support for everyday meals and gatherings. The neutral gray wood finish pairs effortlessly with a wide range of dining tables, while decorative turned legs add an elegant, classic silhouette. Versatile in style, these chairs complement farmhouse, transitional, and rustic interiors alike—perfect for dining rooms, kitchens, or breakfast nooks. A simple way to elevate your space with coordinated, inviting seating. | I wish I could give these chairs a 5, but I think Im stretching it to give a 4. The instructions were simple, and I thought oh this will be a breeze. So I set everything up and started to assemble both chairs at the same time. I get right to the end, ready to put the seats on, and the frame is upside down on both chairs! I reread the instructions, and nope, it doesnt tell you which way to put them. So I take them apart and start over. Each seat has a line in the fabric from back to front, which is very noticeable. Also, there are no taps included for the legs. They will definitely scratch the floor without them. So, I will be going to the hardware store. Its such a shame as they are attractive chairs. They really need quality control.. Lori. Spring, TX. Sat Jan 24 2026"
,,,,,Kitchen   Dining Chairs,W005062930,Gautieri 30.9'' H Upholstered Side Chair,$139.99,https://www.wayfair.com/furniture/pdp/charlton-home-gautieri-cross-back-side-chair-in-greywalnut-w005062930.html,Charlton Home®,null,"Elegance and comfort define the Gautieri dining chair. Made in Malaysia, the Gautieri is constructed from solid wood and showcases a warm walnut brown finish that complements the light fabric upholstery. Designed with both comfort and style in mind, the chair features a plush foam-padded seat, as well as an exquisite cut-out design on its back. Requiring assembly, the chair is fitted with turned legs for a classic, refined touch. A graceful design equipped with plush comfort, the Gautieri dining chair elevates any dining experience. | I love these chairs, and they match perfectly with the catellini table I bought with them. They are comfortable with the padding, and the design is beautiful.. Michelle. US. Wed Aug 12 2026"
,,,,,Kitchen   Dining Chairs,W100172831,Vivica 19.25'' H Upholstered Ash Side Chair,$749.00,https://www.wayfair.com/furniture/pdp/birch-lane-vivica-side-chair-in-espressocardiff-cream-w100172831.html?piid=696109773,Birch Lane™,Brown Leather Blend//Cardiff Cream,"Sleek, streamlined seating with a midcentury vibe. The armless dining chair features a sling leather seatback and a faux shearling seat in liquid-repellent performance fabric. Frame and legs made of solid ash wood. Performance fabrics are specially created to withstand spills, stains, high traffic, and wear, ensuring long-term comfort and unmatched durability. | These chairs are GORGEOUS! Comfortable, textured nature to the seat portion (not scratchy), and they appear to be sturdy. Have not used them yet, only styled them, will update the review upon use.. V.b.. USA. Tue Oct 03 2023"
,,,,,Kitchen   Dining Chairs,W119691152,"Modern Elegant Shell Dining Chair, Comfortable Accent Swivel Chair- Soft Padded Seat, Ergonomic Design (Set of 4)",$337.98,https://www.wayfair.com/furniture/pdp/everly-quinn-swivel-dining-chair-w119691152.html?piid=1853668515,Everly Quinn,Beige,"Pretty and comfortable. The color is also great! I sit comfortably on it as you can see on the picture. I’m 170lbs. 5’5 tall. The chairs was easy to assemble. It swivel smoothly without any noise. The fabric is soft and the arms go under the table. Bianca. Cypress, TX. Thu Jul 16 2026"
,,,,,Kitchen   Dining Chairs,W116905092,"20.4"" W Contemporary Side Chair, White (2/CTN)",$269.99,https://www.wayfair.com/furniture/pdp/latitude-run-204-w-contemporary-side-chair-espresso-2ctn-w116905092.html?piid=1507245425,Latitude Run®,Dark Cherry,"Transform your room with the 20.4"" W Contemporary Side Chair, Espresso (2/CTN), where featuring smooth faux leather upholstery, these chairs have an attractive color palette to enhance your dining meets modern comfort. Its smooth structure space. comfort abounds in this set of two upholstered dining chairs, enhanced with comfortable foam-filled padding effortlessly."
,,,,,Kitchen   Dining Chairs,TCJO1261,Alanis Piano Rattan Dining Side Chair,$550.00,https://www.wayfair.com/furniture/pdp/sika-design-alanis-piano-rattan-dining-side-chair-tcjo1261.html?piid=50880673,Sika Design,Taupe,"The piano side chair by Sika Design invites classic midcentury style to the table. Handmade from natural rattan the design gets its cues from the functional style and soul of the 1950s and 1960s. The versatile chair features classic lines, with a high square back and a curved wide seat for comfortable dining. A slatted reed back adds an open, breezy casual charm while the distinctive herringbone weave seat seamlessly elevates the dining space. | love these chairs - perfect for my coastal house. Susan. West Chatham, MA. Wed May 14 2025"
,,,,,Kitchen   Dining Chairs,KCD10750,Caliya 19'' H Upholstered Arm Chair,"$1,519.98",https://www.wayfair.com/furniture/pdp/rosalind-wheeler-caliya-armchair-in-blackgray-kcd10750.html,Rosalind Wheeler,null,"In keeping with the design philosophy of plank road, the howell dining chair balances clean lines with the details of its construction. The solid wood that serves as the structural framework of the chair is exposed and left as part of the beauty of the piece. This makes for a particularly attractive approach view of the back of the chair. It also features a small nail-head trim that frames the seat and back upholstery."
,,,,,Kitchen   Dining Chairs,W006074412,Magnus 18.5'' H Faux Leather Upholstered Side Chair,$492.60,https://www.wayfair.com/furniture/pdp/zuo-hospitality-magnus-metal-side-chair-w006074412.html?piid=814444643%2C814444647,Zuo Hospitality,"Gray, Walnut","Magnus dining chair is gray & brushed stainless steel | CHAIRS: Beautiful chairs and excellent quality. The ""gray"" chairs have nothing gray about them. They are a medium taupe leaning toward brown. I knew they would be ""taupe-ish"" based on previous reviews (thank you!) and I was okay with the brownish skew. They were a bit darker than I expected but not a deal breaker for me. The photo that best portrays the true color is the close-up of the chair leg; the other photos make the chair appear darker than it is in person. The stitching detail really adds to the quality look; without that they would be less interesting. The leg shape is also a nice design element. The ""chrome"" is actually a brushed silver, which I prefer since it's a bit softer than shiny chrome but still matches other chrome items in our home. The legs have black plastic tips to prevent floor scratches. The chairs are very comfortable, with a wide seat, and feel very sturdy. SHIPPING: Ordered on the 10th and delivered on the 17th. We bought twelve chairs for two different eating areas (kitchen + dining) to be able to shift chairs around and still have a cohesive look in either area. A couple of the boxes they came in were a little roughed up (see photo), so I was initially concerned some chairs might be damaged. That was not the case. The chairs are exquisitely wrapped and protected. The smashed-in parts of the boxes were empty spaces that had no chair parts, so everything inside was pristine. ASSEMBLY: The time suck for these chairs is not assembly, which is super fast and easy. It's the unwrapping (see above about exquisite wrapping). With twelve chairs, it took me a bit more than 3 hours all together. Unwrapping each chair was 10-15 minutes, and assembly was 5 minutes. I made sure to use our electric screwdriver with appropriate bit (my husband trained me well ;) ), which greatly sped things up. OVERALL: We absolutely love these chairs and look forward to using them for many years!. Sad Face In Tidewater. Virginia. Wed May 06 2026"
,,,,,Kitchen   Dining Chairs,W110640270,Hulda Miriam Solid Back Armchair,$819.99,https://www.wayfair.com/furniture/pdp/corrigan-studio-hulda-miriam-solid-back-armchair-w110640270.html,Corrigan Studio®,null,"Revitalize your dining area with our sophisticated dining chair, meticulously crafted with a robust chromed steel base and a resilient clear acrylic seat. This combination of strength and contemporary allure makes it the perfect blend of style and durability for your home, ensuring both visual appeal and long-lasting quality. Whether you're hosting lavish dinner parties or enjoying casual meals with loved ones, this chair promises to elevate your dining experience with its exquisite design and unwavering resilience."
