L1,L2,L3,L4,Final level Category,product_id,product_name
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24596731,"Mount-It! Deluxe Steel CPU Mount with Sliding Track, Matte Black (MI-7172)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24294687,"LifeFlo Ergonomics CPU Cradle for Fluid LT Workstation, 7.25” Height, 4.5 - 8” Width, 10"" Depth.  Silver (LFO-ACTSCPU61)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24763387,"Mount-It! MedHub Adjustable Mini CPU Mount for Wall and Mobile Medical Workstations, 0.67""-2.8"" Width, 11 lb Capacity (MI-16052)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,2720826,"Kantek Steel Mobile CPU Stand, Black (CS200B)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24763386,"Mount-It! MedHub Space-Saving Adjustable CPU Mount for Mobile Medical Carts, Fits 4.8""- 8.3"" CPUs, 22 lbs. Capacity (MI-16051)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24596732,"Mount-It! Steel CPU Heavy-Duty Under-Desk/Wall Mount, Matte Black (MI-7171)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24780876,"Mount-It! Heavy-Duty Clamp-On CPU Mount for Mid & Full Tower PCs, Holds up to 66 lbs., Matte Black (MI-7159)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24780877,"Mount-It! Universal Mini PC, CPU & Thin Client Mount, Holds up to 11 lbs., Black (MI-7157)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,2508752,"Uncaged Ergonomics CPU Mounting Kit, Gray (CPU2G)"
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,24394945,Mount-It! Anti-Theft Under Desk CPU Mount (MI-7156)
Furniture,Desks,CPU Holders & Mounts,,CPU Holders & Mounts,321036,"Fellowes Premium Steel CPU Stand, Platinum (91781)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,2831809,"Staples 2x Sheet Magnifier, 8.4"" x 11"", Clear (TR56459)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24327887,"Carson Optical MicroMini 20x LED Lighted Pocket Microscope, Orange (MM-280O)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,922731,"Staples 2x Handheld Magnifier, 3"", Clear (TR56453)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,208609,Carson Optical MiniBrite 3x Slide-Out LED Magnifier (PO-25)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,23978983,Carson Optical LumiLoupe 10x Magnifier (LL-20)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,208679,"Carson MagniVisor 3x Head-Mounted Magnifier, Black (CSNMV23)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,23978959,"Carson Optical Credit Card-Size Magnifier with 6x Spot Lens, 2-Pack (WM-01)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,1592888,"Carson Optical BigEye 2x Round Hand Magnifier, Green (CSNHU20)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24688252,"CARSON BigEye 2x Handheld Magnifier & MagniView Magnifier, 2/Pack (KITCSNMAG01)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24005711,"Carson Optical TriView 5x–15x Folding Magnifier, (TV-15)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24496120,"TickiT 3x Handheld Magnifiers, 3/Bundle (CTU48123-3)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,922728,"Staples 2x Handheld Magnifier, 2.2"" x 3.6"", Clear (TR56452)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,23978985,Carson Optical MagniFlip Flip-Open Handheld Magnifiers (CSNGN33)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,23978958,Carson Optical MagniTouch Touch Activated 3x Magnifier (MT-33)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24680312,Carson Lumé LED Handheld Magnifier (AS-70)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,1592856,"Carson Optical BugLoupe 4.5x Stand Magnifier, Green (CSNHU55)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24688253,"CARSON BigEye 2x Round Handheld Magnifier & BugLoupe 4.5x Stand Magnifier, 2/Pack (KITCSNMAG02)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24688257,CARSON BugView Magnifier & Quick-Release Bug-Catching Tool with BugLoupe 4.5x Stand Magnifier (KITCSNMAG03)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24005760,"Carson Minibrite 3x Slide-out Led Magnifier, 2-Pack (818549020331)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24688255,"CARSON BigEye 2x Handheld Magnifier, 2/Pack (KITCSNHU202PK)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24688254,"CARSON Pocket Handheld Magnifiers, 2/Pack, 10 Packs/Bundle (KITCSNWM0110PK)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,2134421,The Color Wheel Company Viewcatcher Artist'S View Finder View Finder [Pack Of 2] (2PK-7002)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24005747,"Carson Minibrite 3x Slide-out Led Magnifier, 4-Pack (818549020348)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24005762,"Carson Bigeye 2x Round Hand Magnifier, 10-Pack (818549020249)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24688256,"CARSON TriView 5x–15x Folding Magnifier & SureGrip 2x Handheld Magnifier, 12/Pack (KITCSNMAG04)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24701256,"CARSON HandHeld LED 4x Lighted Magnifier, Beige (SV-40)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,931966,Staples® Pop-up Lighted 2x Magnifier (10643)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,234922,Hawk LED 4x Handheld Magnifier w/Light (MG7616)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,208015,Carson Optical SureGrip 2x Soft-Grip Magnifier with 11.5x Spot Lens (SG-10)
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,24005749,"Carson Bigeye 2x Round Hand Magnifier, 5-Pack (818549020232)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,2438240,"Carson SureGrip 2x Handheld Magnifier, Black (SG-14)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,2438241,"Carson TriView Handheld Magnifier, Black (TV-36)"
Furniture,Lamps & Lighting,Craft Lighting & Magnifiers,,Craft Lighting & Magnifiers,2438242,"Carson RimFree 2x Handheld Magnifiers w/Light, Black (RM-77)"
